Id,Id_user,Id_item,App_name,Genres,Developer,Release_date,Price,Recommend,Posted,Sentiment_analysis,Playtime_forever
2220076561197970982479,76561197970982479,22200,Zeno Clash,Action,ACE Team,2009.0,9.99,1,2011,2,271
125076561197970982479,76561197970982479,1250,Killing Floor,Action,Tripwire Interactive,2009.0,19.99,1,2011,2,10006
227300js41637,js41637,227300,Euro Truck Simulator 2,Indie,SCS Software,2013.0,19.99,1,2013,1,551
239030js41637,js41637,239030,"Papers, Please",Adventure,3909,2013.0,9.99,1,2013,1,349
107200evcentric,evcentric,107200,Space Pirates and Zombies,Action,MinMax Games Ltd.,2011.0,9.99,1,2014,2,3225
224500evcentric,evcentric,224500,Gnomoria,Indie,Robotronic Games,2016.0,14.99,1,2014,2,13618
263360evcentric,evcentric,263360,3089 -- Futuristic Action RPG,Action,Phr00t's Software,2014.0,6.99,1,2014,0,447
237930evcentric,evcentric,237930,Transistor,Action,Supergiant Games,2014.0,19.99,1,2014,2,508
370360evcentric,evcentric,370360,TIS-100,Indie,Zachtronics,2015.0,6.99,1,2015,2,403
20920doctr,doctr,20920,The Witcher 2: Assassins of Kings Enhanced Edition,RPG,CD PROJEKT RED,2011.0,19.99,1,2012,2,2981
108710doctr,doctr,108710,Alan Wake,Action,Remedy Entertainment,2012.0,9.99,1,2012,2,1185
207610doctr,doctr,207610,The Walking Dead,Adventure,Telltale Games,2012.0,24.99,1,2012,0,1972
204100doctr,doctr,204100,Max Payne 3,Action,Rockstar Studios,2012.0,19.99,1,2012,2,5297
250320doctr,doctr,250320,The Wolf Among Us,Adventure,Telltale Games,2013.0,24.99,1,2013,2,778
211420maplemage,maplemage,211420,DARK SOULS™: Prepare To Die™ Edition,Action,FromSoftware,2012.0,19.99,1,2014,1,12347
204300maplemage,maplemage,204300,Awesomenauts - the 2D moba,Action,Ronimo Games,2012.0,0.0,1,2013,2,17589
730maplemage,maplemage,730,Counter-Strike: Global Offensive,Action,Valve,2012.0,14.99,1,2014,2,13955
211820maplemage,maplemage,211820,Starbound,Action,Chucklefish,2016.0,14.99,1,2013,1,3436
30493076561198077246154,76561198077246154,304930,Unturned,Action,Smartly Dressed Games,2017.0,0.0,1,2014,1,25150
4000WeiEDKrSat,WeiEDKrSat,4000,Garry's Mod,Indie,Facepunch Studios,2006.0,9.99,1,2013,1,16441
42910thequeenpanda,thequeenpanda,42910,Magicka,Action,Arrowhead Game Studios,2011.0,9.99,1,2012,1,1219
4000death-hunter,death-hunter,4000,Garry's Mod,Indie,Facepunch Studios,2006.0,9.99,1,2014,2,243840
232090death-hunter,death-hunter,232090,Killing Floor 2,Action,Tripwire Interactive,2016.0,29.99,1,2015,1,3789
1250DJKamBer,DJKamBer,1250,Killing Floor,Action,Tripwire Interactive,2009.0,19.99,1,2013,2,2851
224260DJKamBer,DJKamBer,224260,No More Room in Hell,Action,No More Room in Hell Team,2011.0,0.0,1,2013,1,7366
304930DJKamBer,DJKamBer,304930,Unturned,Action,Smartly Dressed Games,2017.0,0.0,1,2014,0,770
730Rainbow-Dashie,Rainbow-Dashie,730,Counter-Strike: Global Offensive,Action,Valve,2012.0,14.99,1,2015,2,21385
220200MarbleShrine,MarbleShrine,220200,Kerbal Space Program,Indie,Squad,2015.0,39.99,1,2015,2,8592
211820PPanther,PPanther,211820,Starbound,Action,Chucklefish,2016.0,14.99,1,2014,1,11721
218740devvonst,devvonst,218740,Pid,Adventure,Might and Delight,2012.0,9.99,1,2014,1,29
550devvonst,devvonst,550,Left 4 Dead 2,Action,Valve,2009.0,19.99,1,2015,2,7022
887076561198058373434,76561198058373434,8870,BioShock Infinite,Action,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013.0,29.99,1,2015,1,962
3393076561198048353577,76561198048353577,33930,Arma 2: Operation Arrowhead,Action,Bohemia Interactive,2010.0,19.99,1,2013,1,6684
36823076561198048353577,76561198048353577,368230,Kingdom: Classic,Indie,"Noio,Licorice",2015.0,4.99,1,2015,0,602
21964076561198066046412,76561198066046412,219640,Chivalry: Medieval Warfare,Action,Torn Banner Studios,2012.0,24.99,1,2015,2,47800
287980tru_mu_,tru_mu_,287980,Mini Metro,Indie,Dinosaur Polo Club,2015.0,9.99,1,2015,1,620
20809076561198070565427,76561198070565427,208090,Loadout,Action,Edge of Reality,2014.0,0.0,1,2015,1,944
22426076561198070565427,76561198070565427,224260,No More Room in Hell,Action,No More Room in Hell Team,2011.0,0.0,1,2014,1,3061
221100SavageEeEe,SavageEeEe,221100,DayZ,Action,Bohemia Interactive,2013.0,34.99,1,2015,2,54642
4000KanadeTheNeko,KanadeTheNeko,4000,Garry's Mod,Indie,Facepunch Studios,2006.0,9.99,1,2014,1,44455
331470KanadeTheNeko,KanadeTheNeko,331470,Everlasting Summer,Adventure,Soviet Games,2014.0,0.0,1,2014,2,45
304930GoAwayZach,GoAwayZach,304930,Unturned,Action,Smartly Dressed Games,2017.0,0.0,1,2014,2,8496
4870076561198054540475,76561198054540475,48700,Mount & Blade: Warband,Action,TaleWorlds Entertainment,2010.0,19.99,1,2014,1,8044
73076561198061252210,76561198061252210,730,Counter-Strike: Global Offensive,Action,Valve,2012.0,14.99,1,2015,2,41281
